id,dia,orden,nombre_es,tip,clave,sesion
0025,push,1,Press de banca con barra,Aprieta las escápulas hacia atrás y abajo; baja la barra al esternón y empuja con los pies firmes en el piso.,Rebotar la barra en el pecho o perder el arco: baja controlado en 2-3 segundos.,sugerido
0047,push,2,Press de banca inclinado con barra,Banco a 30-45 grados; baja la barra a la parte alta del pecho y siente el estiramiento.,Inclinar demasiado el banco: el trabajo se va al hombro y no al pecho.,sugerido
0289,push,3,Press de banca con mancuernas,Muñecas sobre codos y codos a unos 45 grados del torso; abajo siente el pecho estirarse.,Bajar con los codos abiertos a 90 grados: sobrecarga el hombro.,sugerido
0091,push,4,Press militar con barra,Aprieta glúteos y abdomen; sube la barra en línea con la nariz y la frente.,Arquear la espalda baja para empujar el peso.,sugerido
0334,push,5,Elevaciones laterales con mancuernas,"El codo guía el movimiento, como si vertieras agua; sube hasta la altura del hombro.",Usar impulso de cadera o subir por encima del hombro encogiendo el trapecio.,sugerido
0201,push,6,Extensión de tríceps en polea (pushdown),Codos pegados al torso: solo se mueve el antebrazo.,Separar los codos del torso y empujar con el hombro.,sugerido
0060,push,7,Press francés (rompe cráneos) con barra,Codos fijos apuntando arriba; baja la barra hacia la frente con control.,Mover los codos y bajar al pecho: se convierte en press.,sugerido
0314,push,8,Press inclinado con mancuernas,Inclinación de 30 grados; junta ligeramente las mancuernas arriba sin bloquear del todo.,Rango parcial: baja hasta sentir el estiramiento del pecho.,opcion
0308,push,9,Aperturas con mancuernas,"Codos semiflexionados y fijos; imagina que abrazas un árbol, no hagas press.",Convertirlo en press o bajar más allá de tu rango cómodo.,opcion
0171,push,10,Aperturas inclinadas en polea,Poleas bajas; cruza ligeramente las manos arriba y aprieta un segundo.,Encoger los hombros hacia las orejas.,opcion
0577,push,11,Press de pecho en máquina,Ajusta el asiento para que los puños queden a la altura del pecho.,No ajustar el asiento y empujar con los hombros.,opcion
0662,push,12,Flexiones,"Cuerpo en tabla, glúteos y abdomen firmes; codos a 45 grados del torso.",Cadera caída o subir solo la cabeza.,opcion
0251,push,13,Fondos en paralelas (pecho),Inclínate al frente y abre un poco los codos para cargar el pecho.,Bajar más de lo que controlas con los hombros protraídos.,opcion
0405,push,14,Press de hombros con mancuernas sentado,Espalda apoyada; sube sin bloquear del todo y baja a la altura de las orejas.,Chocar las mancuernas arriba y perder tensión.,opcion
0178,push,15,Elevaciones laterales en polea,"Polea baja: tensión constante de abajo a arriba, sube lento.",Encoger el hombro al subir.,opcion
0383,push,16,Pájaros con mancuernas (deltoide posterior),Torso casi paralelo al piso; abre con codos ligeramente flexionados.,Balancear el torso para levantar el peso.,opcion
